export-plot data (NetLogo 6.1.1),,,,,,,
tickbites.nlogo,,,,,,,
06/19/2020 13:45:59:914 +0200,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
daily-tourists-peak,percent-2days,percent-adult,initial-number-residents,percent-5days,daily-tourists-off,percent-young,probability
27900,51,78,112410,65,20700,22,0.005
,,,,,,,
"""Number of total bites""",,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens
0,895,0,19500,TRUE,"""pen-0""",FALSE,1
,,,,,,,
pen name,pen down?,mode,interval,color,x,,
"""pen-0""",TRUE,0,1,124,720,,
,,,,,,,
"""pen-0""",,,,,,,
x,y,color,pen down?,,,,
0,0,124,TRUE,,,,
1,6,124,TRUE,,,,
2,8,124,TRUE,,,,
3,14,124,TRUE,,,,
4,15,124,TRUE,,,,
5,18,124,TRUE,,,,
6,24,124,TRUE,,,,
7,35,124,TRUE,,,,
8,35,124,TRUE,,,,
9,35,124,TRUE,,,,
10,35,124,TRUE,,,,
11,37,124,TRUE,,,,
12,39,124,TRUE,,,,
13,39,124,TRUE,,,,
14,51,124,TRUE,,,,
15,51,124,TRUE,,,,
16,55,124,TRUE,,,,
17,59,124,TRUE,,,,
18,59,124,TRUE,,,,
19,65,124,TRUE,,,,
20,70,124,TRUE,,,,
21,77,124,TRUE,,,,
22,86,124,TRUE,,,,
23,90,124,TRUE,,,,
24,90,124,TRUE,,,,
25,95,124,TRUE,,,,
26,99,124,TRUE,,,,
27,106,124,TRUE,,,,
28,106,124,TRUE,,,,
29,106,124,TRUE,,,,
30,106,124,TRUE,,,,
31,112,124,TRUE,,,,
32,118,124,TRUE,,,,
33,123,124,TRUE,,,,
34,125,124,TRUE,,,,
35,136,124,TRUE,,,,
36,149,124,TRUE,,,,
37,153,124,TRUE,,,,
38,157,124,TRUE,,,,
39,164,124,TRUE,,,,
40,171,124,TRUE,,,,
41,179,124,TRUE,,,,
42,192,124,TRUE,,,,
43,201,124,TRUE,,,,
44,205,124,TRUE,,,,
45,210,124,TRUE,,,,
46,215,124,TRUE,,,,
47,223,124,TRUE,,,,
48,227,124,TRUE,,,,
49,237,124,TRUE,,,,
50,253,124,TRUE,,,,
51,253,124,TRUE,,,,
52,253,124,TRUE,,,,
53,261,124,TRUE,,,,
54,265,124,TRUE,,,,
55,274,124,TRUE,,,,
56,288,124,TRUE,,,,
57,288,124,TRUE,,,,
58,293,124,TRUE,,,,
59,294,124,TRUE,,,,
60,294,124,TRUE,,,,
61,307,124,TRUE,,,,
62,312,124,TRUE,,,,
63,335,124,TRUE,,,,
64,361,124,TRUE,,,,
65,368,124,TRUE,,,,
66,383,124,TRUE,,,,
67,398,124,TRUE,,,,
68,410,124,TRUE,,,,
69,423,124,TRUE,,,,
70,447,124,TRUE,,,,
71,472,124,TRUE,,,,
72,482,124,TRUE,,,,
73,486,124,TRUE,,,,
74,496,124,TRUE,,,,
75,505,124,TRUE,,,,
76,516,124,TRUE,,,,
77,531,124,TRUE,,,,
78,563,124,TRUE,,,,
79,574,124,TRUE,,,,
80,574,124,TRUE,,,,
81,587,124,TRUE,,,,
82,603,124,TRUE,,,,
83,618,124,TRUE,,,,
84,618,124,TRUE,,,,
85,639,124,TRUE,,,,
