export-plot data (NetLogo 6.1.1),,,,,,,
tickbites.nlogo,,,,,,,
06/19/2020 13:45:41:686 +0200,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
daily-tourists-peak,percent-2days,percent-adult,initial-number-residents,percent-5days,daily-tourists-off,percent-young,probability
27900,51,78,112410,65,20700,22,0.005
,,,,,,,
"""Number of new bites""",,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens
0,895,0,130,TRUE,"""default""",FALSE,1
,,,,,,,
pen name,pen down?,mode,interval,color,x,,
"""default""",TRUE,0,1,0,720,,
,,,,,,,
"""default""",,,,,,,
x,y,color,pen down?,,,,
0,0,0,TRUE,,,,
1,6,0,TRUE,,,,
2,2,0,TRUE,,,,
3,6,0,TRUE,,,,
4,1,0,TRUE,,,,
5,1,0,TRUE,,,,
6,5,0,TRUE,,,,
7,10,0,TRUE,,,,
8,0,0,TRUE,,,,
9,0,0,TRUE,,,,
10,0,0,TRUE,,,,
11,1,0,TRUE,,,,
12,2,0,TRUE,,,,
13,0,0,TRUE,,,,
14,12,0,TRUE,,,,
15,0,0,TRUE,,,,
16,2,0,TRUE,,,,
17,2,0,TRUE,,,,
18,0,0,TRUE,,,,
19,5,0,TRUE,,,,
20,3,0,TRUE,,,,
21,7,0,TRUE,,,,
22,7,0,TRUE,,,,
23,4,0,TRUE,,,,
24,0,0,TRUE,,,,
25,5,0,TRUE,,,,
26,4,0,TRUE,,,,
27,5,0,TRUE,,,,
28,0,0,TRUE,,,,
29,0,0,TRUE,,,,
30,0,0,TRUE,,,,
31,4,0,TRUE,,,,
32,5,0,TRUE,,,,
33,2,0,TRUE,,,,
34,2,0,TRUE,,,,
35,10,0,TRUE,,,,
36,12,0,TRUE,,,,
37,4,0,TRUE,,,,
38,4,0,TRUE,,,,
39,4,0,TRUE,,,,
40,6,0,TRUE,,,,
41,5,0,TRUE,,,,
42,12,0,TRUE,,,,
43,8,0,TRUE,,,,
44,4,0,TRUE,,,,
45,4,0,TRUE,,,,
46,2,0,TRUE,,,,
47,8,0,TRUE,,,,
48,2,0,TRUE,,,,
49,10,0,TRUE,,,,
50,16,0,TRUE,,,,
51,0,0,TRUE,,,,
52,0,0,TRUE,,,,
53,5,0,TRUE,,,,
54,2,0,TRUE,,,,
55,6,0,TRUE,,,,
56,13,0,TRUE,,,,
57,0,0,TRUE,,,,
58,4,0,TRUE,,,,
59,0,0,TRUE,,,,
60,0,0,TRUE,,,,
61,10,0,TRUE,,,,
62,3,0,TRUE,,,,
63,19,0,TRUE,,,,
64,22,0,TRUE,,,,
65,5,0,TRUE,,,,
66,12,0,TRUE,,,,
67,8,0,TRUE,,,,
68,7,0,TRUE,,,,
69,11,0,TRUE,,,,
70,22,0,TRUE,,,,
71,22,0,TRUE,,,,
72,7,0,TRUE,,,,
73,2,0,TRUE,,,,
74,8,0,TRUE,,,,
75,5,0,TRUE,,,,
76,6,0,TRUE,,,,
77,13,0,TRUE,,,,
78,29,0,TRUE,,,,
79,8,0,TRUE,,,,
80,0,0,TRUE,,,,
81,11,0,TRUE,,,,
82,13,0,TRUE,,,,
83,13,0,TRUE,,,,
84,0,0,TRUE,,,,
85,20,0,TRUE,,,,
86,10,0,TRUE,,,,
