MONTH,AGE,ACTIVITY,LANDUSE,BITE_STATUS
January,2,5,60,TRUE
January,2,2,20,TRUE
January,3,5,20,TRUE
January,2,5,62,TRUE
January,2,1,60,TRUE
January,2,7,60,TRUE
January,1,3,62,TRUE
January,1,5,60,TRUE
January,2,1,60,TRUE
January,1,1,60,TRUE
January,1,7,60,TRUE
January,2,7,60,TRUE
January,1,7,62,TRUE
January,2,1,61,TRUE
January,3,3,62,TRUE
January,2,1,62,TRUE
January,2,1,62,TRUE
January,2,1,62,TRUE
January,1,7,61,TRUE
January,2,7,60,TRUE
January,2,1,60,TRUE
January,2,3,62,TRUE
January,2,7,60,TRUE
January,3,7,62,TRUE
January,1,7,62,TRUE
January,2,4,60,TRUE
January,2,3,60,TRUE
January,2,7,60,TRUE
January,2,3,60,TRUE
January,2,6,62,TRUE
January,3,1,60,TRUE
January,2,3,60,TRUE
January,2,3,62,TRUE
January,3,3,60,TRUE
January,3,3,61,TRUE
January,2,1,60,TRUE
January,3,1,62,TRUE
January,2,1,62,TRUE
January,2,3,62,TRUE
January,2,3,62,TRUE
January,2,1,60,TRUE
January,1,7,60,TRUE
January,2,5,60,TRUE
January,2,1,62,TRUE
January,2,7,61,TRUE
January,1,3,60,TRUE
January,1,7,60,TRUE
January,2,1,60,TRUE
January,2,7,62,TRUE
January,3,1,62,TRUE
January,2,3,61,TRUE
January,3,1,61,TRUE
January,3,7,61,TRUE
January,2,1,62,TRUE
January,3,7,60,TRUE
January,2,1,60,TRUE
January,2,1,62,TRUE
January,2,5,61,TRUE
January,1,1,60,TRUE
January,2,1,60,TRUE
January,2,1,60,TRUE
January,2,5,61,TRUE
January,1,5,62,TRUE
January,2,3,60,TRUE
January,2,5,60,TRUE
January,2,1,60,TRUE
January,1,5,60,TRUE
January,1,1,20,TRUE
January,2,3,62,TRUE
January,1,7,62,TRUE
January,3,5,20,TRUE
January,2,7,60,TRUE
January,2,7,60,TRUE
January,1,5,62,TRUE
January,2,5,60,TRUE
January,1,3,62,TRUE
January,1,3,62,TRUE
January,2,2,20,TRUE
January,1,1,60,TRUE
January,2,7,60,TRUE
January,2,3,60,TRUE
January,1,1,62,TRUE
January,2,3,62,TRUE
January,2,1,62,TRUE
January,1,1,62,TRUE
January,1,3,60,TRUE
January,2,7,62,TRUE
January,3,5,20,TRUE
January,3,3,60,TRUE
January,2,3,61,TRUE
January,2,5,61,TRUE
January,3,3,62,TRUE
January,3,1,62,TRUE
January,2,5,20,TRUE
January,2,7,62,TRUE
January,1,5,62,TRUE
January,2,7,62,TRUE
January,2,1,61,TRUE
January,1,3,60,TRUE
January,3,7,61,TRUE
January,2,1,60,TRUE
January,1,3,62,TRUE
January,3,1,62,TRUE
January,2,5,62,TRUE
January,2,1,60,TRUE
January,2,1,60,TRUE
February,1,1,60,TRUE
February,2,7,62,TRUE
February,2,7,60,TRUE
February,2,3,60,TRUE
February,1,5,62,TRUE
February,3,7,20,TRUE
February,2,3,62,TRUE
February,2,1,61,TRUE
February,2,5,62,TRUE
February,2,1,60,TRUE
February,1,5,61,TRUE
February,2,1,60,TRUE
February,2,1,60,TRUE
February,1,5,62,TRUE
February,2,3,61,TRUE
February,3,5,62,TRUE
February,2,3,62,TRUE
February,3,7,62,TRUE
February,2,1,60,TRUE
February,1,3,60,TRUE
February,1,4,60,TRUE
February,2,5,60,TRUE
February,3,7,62,TRUE
February,2,3,62,TRUE
February,2,1,60,TRUE
February,1,3,20,TRUE
February,2,1,60,TRUE
February,1,7,62,TRUE
February,2,5,62,TRUE
February,2,3,60,TRUE
February,2,2,20,TRUE
February,3,3,20,TRUE
February,2,1,60,TRUE
February,3,4,61,TRUE
February,2,6,62,TRUE
February,3,4,62,TRUE
February,1,7,60,TRUE
February,2,5,62,TRUE
February,1,1,62,TRUE
February,2,4,60,TRUE
February,2,7,60,TRUE
February,2,1,60,TRUE
February,2,1,60,TRUE
February,2,3,60,TRUE
February,1,1,60,TRUE
February,2,3,62,TRUE
February,2,1,60,TRUE
February,2,5,62,TRUE
February,2,1,60,TRUE
February,2,1,61,TRUE
February,2,1,60,TRUE
February,1,5,60,TRUE
February,2,1,60,TRUE
February,1,1,62,TRUE
February,2,1,60,TRUE
February,2,1,60,TRUE
February,2,1,60,TRUE
February,2,1,60,TRUE
February,2,7,60,TRUE
February,3,1,62,TRUE
February,1,5,62,TRUE
February,2,5,62,TRUE
February,3,5,60,TRUE
February,2,3,62,TRUE
February,1,1,60,TRUE
February,3,1,62,TRUE
February,2,5,60,TRUE
February,2,1,60,TRUE
February,2,1,60,TRUE
February,2,3,60,TRUE
February,1,3,62,TRUE
February,1,3,60,TRUE
February,3,1,61,TRUE
February,1,1,60,TRUE
February,2,2,20,TRUE
February,2,1,60,TRUE
February,3,7,60,TRUE
February,2,1,60,TRUE
February,2,5,60,TRUE
February,2,7,62,TRUE
February,2,7,20,TRUE
February,2,6,60,TRUE
February,2,1,60,TRUE
February,3,7,61,TRUE
February,1,1,60,TRUE
February,1,5,62,TRUE
February,2,2,20,TRUE
February,2,5,60,TRUE
February,2,4,62,TRUE
February,2,2,20,TRUE
February,2,2,20,TRUE
February,2,7,62,TRUE
February,2,1,60,TRUE
February,2,1,60,TRUE
February,2,1,60,TRUE
February,2,3,60,TRUE
February,2,5,60,TRUE
February,2,1,60,TRUE
February,2,7,61,TRUE
February,3,3,62,TRUE
February,2,5,61,TRUE
February,1,5,61,TRUE
February,3,5,60,TRUE
February,2,1,60,TRUE
February,3,7,62,TRUE
February,2,1,60,TRUE
February,2,1,60,TRUE
February,1,5,61,TRUE
February,1,1,62,TRUE
February,3,5,62,TRUE
February,2,7,62,TRUE
February,2,7,60,TRUE
February,2,1,20,TRUE
February,1,1,60,TRUE
February,2,7,60,TRUE
February,2,3,61,TRUE
February,2,5,62,TRUE
February,2,1,60,TRUE
February,1,1,60,TRUE
February,3,1,62,TRUE
February,2,3,62,TRUE
February,2,6,20,TRUE
February,2,4,60,TRUE
February,2,2,20,TRUE
February,1,4,62,TRUE
February,2,6,61,TRUE
February,2,4,62,TRUE
February,2,5,61,TRUE
February,2,7,60,TRUE
February,2,3,62,TRUE
February,2,1,60,TRUE
February,1,1,62,TRUE
February,2,7,62,TRUE
February,3,7,60,TRUE
February,2,4,62,TRUE
February,2,3,61,TRUE
February,2,2,20,TRUE
February,2,5,61,TRUE
February,1,5,60,TRUE
February,2,7,62,TRUE
February,3,5,62,TRUE
February,2,7,60,TRUE
February,3,1,61,TRUE
February,2,5,62,TRUE
February,2,5,62,TRUE
February,2,5,62,TRUE
February,2,1,60,TRUE
February,2,7,61,TRUE
February,1,5,62,TRUE
February,2,1,60,TRUE
February,2,3,60,TRUE
February,2,7,60,TRUE
February,1,5,61,TRUE
February,1,5,60,TRUE
February,2,1,60,TRUE
February,1,1,61,TRUE
February,3,5,61,TRUE
February,2,1,20,TRUE
February,2,1,60,TRUE
February,2,5,62,TRUE
February,3,3,20,TRUE
February,2,3,62,TRUE
February,2,7,61,TRUE
February,1,1,60,TRUE
February,2,3,62,TRUE
February,2,3,60,TRUE
February,2,1,60,TRUE
February,3,7,62,TRUE
February,2,3,60,TRUE
February,1,1,60,TRUE
February,2,2,20,TRUE
February,1,3,62,TRUE
February,3,7,62,TRUE
February,1,1,60,TRUE
February,1,1,60,TRUE
February,1,5,60,TRUE
February,2,1,60,TRUE
February,2,1,62,TRUE
February,3,7,62,TRUE
February,3,1,60,TRUE
February,2,5,62,TRUE
February,1,7,62,TRUE
February,2,7,61,TRUE
February,2,7,61,TRUE
February,2,1,60,TRUE
February,2,1,62,TRUE
February,2,7,60,TRUE
February,2,3,60,TRUE
March,2,1,60,TRUE
March,2,7,61,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,1,5,62,TRUE
March,2,3,60,TRUE
March,2,1,61,TRUE
March,2,7,20,TRUE
March,2,1,20,TRUE
March,2,3,62,TRUE
March,2,5,60,TRUE
March,2,1,60,TRUE
March,1,1,62,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,20,TRUE
March,2,3,60,TRUE
March,2,2,20,TRUE
March,2,1,61,TRUE
March,2,1,60,TRUE
March,1,1,62,TRUE
March,1,1,60,TRUE
March,2,2,20,TRUE
March,3,4,62,TRUE
March,2,1,60,TRUE
March,2,3,60,TRUE
March,2,7,60,TRUE
March,2,5,61,TRUE
March,1,4,61,TRUE
March,2,1,62,TRUE
March,2,1,60,TRUE
March,2,7,62,TRUE
March,2,5,61,TRUE
March,3,5,60,TRUE
March,2,1,60,TRUE
March,2,5,62,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,2,20,TRUE
March,2,7,60,TRUE
March,2,4,62,TRUE
March,2,3,62,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,1,1,60,TRUE
March,2,2,20,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,2,7,61,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,1,7,61,TRUE
March,2,1,61,TRUE
March,2,5,62,TRUE
March,3,1,60,TRUE
March,2,7,60,TRUE
March,2,1,60,TRUE
March,2,3,60,TRUE
March,2,3,60,TRUE
March,3,1,60,TRUE
March,1,5,62,TRUE
March,2,1,60,TRUE
March,3,1,62,TRUE
March,2,1,60,TRUE
March,2,5,60,TRUE
March,2,7,62,TRUE
March,2,7,60,TRUE
March,1,1,62,TRUE
March,2,1,60,TRUE
March,1,1,60,TRUE
March,2,1,60,TRUE
March,1,3,60,TRUE
March,2,5,60,TRUE
March,2,7,60,TRUE
March,2,1,60,TRUE
March,2,7,60,TRUE
March,2,1,60,TRUE
March,1,5,60,TRUE
March,2,7,60,TRUE
March,2,3,60,TRUE
March,2,7,62,TRUE
March,2,1,60,TRUE
March,3,1,62,TRUE
March,2,1,61,TRUE
March,2,7,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,5,61,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,61,TRUE
March,1,7,60,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,2,1,62,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,3,1,61,TRUE
March,2,3,60,TRUE
March,1,3,60,TRUE
March,3,3,61,TRUE
March,2,1,60,TRUE
March,3,7,60,TRUE
March,2,1,61,TRUE
March,1,1,60,TRUE
March,2,3,60,TRUE
March,3,1,62,TRUE
March,3,5,60,TRUE
March,1,7,60,TRUE
March,1,3,60,TRUE
March,3,7,62,TRUE
March,2,1,60,TRUE
March,1,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,3,62,TRUE
March,2,1,60,TRUE
March,3,1,60,TRUE
March,2,1,60,TRUE
March,2,7,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,3,60,TRUE
March,2,1,62,TRUE
March,2,3,60,TRUE
March,3,6,60,TRUE
March,2,1,60,TRUE
March,2,3,20,TRUE
March,2,5,62,TRUE
March,2,5,61,TRUE
March,2,5,60,TRUE
March,2,1,62,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,2,1,62,TRUE
March,1,3,60,TRUE
March,2,1,60,TRUE
March,3,3,61,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,7,60,TRUE
March,2,7,62,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,2,20,TRUE
March,1,5,62,TRUE
March,2,4,62,TRUE
March,1,7,62,TRUE
March,2,2,20,TRUE
March,1,3,62,TRUE
March,2,1,60,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,1,1,61,TRUE
March,2,2,20,TRUE
March,2,3,60,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,1,1,62,TRUE
March,2,3,60,TRUE
March,2,3,60,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,2,1,62,TRUE
March,2,1,62,TRUE
March,2,5,20,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,1,3,62,TRUE
March,2,7,60,TRUE
March,2,3,61,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,7,62,TRUE
March,2,3,60,TRUE
March,2,3,62,TRUE
March,1,7,62,TRUE
March,2,7,62,TRUE
March,3,5,62,TRUE
March,1,5,62,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,20,TRUE
March,2,7,60,TRUE
March,1,1,62,TRUE
March,3,1,60,TRUE
March,2,1,62,TRUE
March,2,1,60,TRUE
March,2,3,62,TRUE
March,2,7,62,TRUE
March,2,1,60,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,2,5,62,TRUE
March,2,3,60,TRUE
March,1,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,1,3,60,TRUE
March,2,1,60,TRUE
March,1,5,62,TRUE
March,2,1,62,TRUE
March,2,1,60,TRUE
March,1,3,62,TRUE
March,2,7,60,TRUE
March,2,1,60,TRUE
March,2,7,62,TRUE
March,2,3,62,TRUE
March,2,1,60,TRUE
March,1,1,62,TRUE
March,2,5,62,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,3,3,62,TRUE
March,2,5,62,TRUE
March,2,1,60,TRUE
March,1,1,61,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,2,2,20,TRUE
March,2,1,60,TRUE
March,2,4,62,TRUE
March,2,1,60,TRUE
March,2,2,20,TRUE
March,1,1,60,TRUE
March,2,1,60,TRUE
March,2,2,20,TRUE
March,2,3,61,TRUE
March,2,2,20,TRUE
March,2,1,62,TRUE
March,2,2,20,TRUE
March,2,4,60,TRUE
March,2,1,60,TRUE
March,2,2,20,TRUE
March,3,5,62,TRUE
March,3,3,60,TRUE
March,3,3,61,TRUE
March,2,1,60,TRUE
March,2,3,60,TRUE
March,2,7,60,TRUE
March,1,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,3,61,TRUE
March,2,5,62,TRUE
March,3,1,60,TRUE
March,2,1,60,TRUE
March,1,1,60,TRUE
March,2,1,62,TRUE
March,2,7,60,TRUE
March,2,1,60,TRUE
March,1,1,62,TRUE
March,2,3,62,TRUE
March,2,3,62,TRUE
March,2,1,60,TRUE
March,2,7,62,TRUE
March,2,7,60,TRUE
March,2,5,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,3,20,TRUE
March,2,1,60,TRUE
March,2,3,60,TRUE
March,2,3,62,TRUE
March,2,1,60,TRUE
March,2,3,60,TRUE
March,2,5,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,7,60,TRUE
March,3,3,62,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,62,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,2,1,61,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,5,60,TRUE
March,2,7,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,3,5,60,TRUE
March,1,3,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,3,7,62,TRUE
March,2,1,60,TRUE
March,1,1,62,TRUE
March,2,3,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,1,1,60,TRUE
March,2,1,60,TRUE
March,2,7,62,TRUE
March,1,5,60,TRUE
March,1,7,61,TRUE
March,2,1,60,TRUE
March,1,1,60,TRUE
March,2,4,61,TRUE
March,3,3,60,TRUE
March,3,6,60,TRUE
March,2,2,20,TRUE
March,2,4,60,TRUE
March,2,2,20,TRUE
March,2,1,60,TRUE
March,3,5,61,TRUE
March,2,1,60,TRUE
March,2,4,60,TRUE
March,2,2,20,TRUE
March,1,5,20,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,3,1,60,TRUE
March,1,1,60,TRUE
March,2,1,60,TRUE
March,2,3,20,TRUE
March,2,3,20,TRUE
March,2,1,60,TRUE
March,2,3,60,TRUE
March,2,5,62,TRUE
March,2,7,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,2,1,60,TRUE
March,3,1,60,TRUE
March,3,5,60,TRUE
March,2,3,60,TRUE
March,2,1,20,TRUE
March,2,1,20,TRUE
March,2,7,62,TRUE
April,3,2,20,TRUE
April,2,1,20,TRUE
April,2,2,20,TRUE
April,2,1,60,TRUE
April,1,1,60,TRUE
April,2,3,20,TRUE
April,2,1,60,TRUE
April,2,2,20,TRUE
April,2,2,20,TRUE
April,1,1,60,TRUE
April,1,1,60,TRUE
April,2,1,61,TRUE
April,2,2,20,TRUE
April,2,2,20,TRUE
April,1,3,60,TRUE
April,2,2,20,TRUE
April,2,1,60,TRUE
April,2,1,60,TRUE
April,2,3,61,TRUE
April,3,3,60,TRUE
April,2,1,60,TRUE
April,2,1,60,TRUE
April,3,7,60,TRUE
April,2,1,60,TRUE
April,2,2,20,TRUE
April,2,2,20,TRUE
April,2,1,60,TRUE
April,2,1,60,TRUE
April,2,4,61,TRUE
April,2,1,60,TRUE
April,1,4,62,TRUE
April,2,1,60,TRUE
April,2,2,20,TRUE
April,2,2,20,TRUE
April,2,1,60,TRUE
April,3,1,60,TRUE
April,1,4,60,TRUE
April,2,2,20,TRUE
April,2,1,60,TRUE
April,1,3,62,TRUE
April,3,3,61,TRUE
April,2,2,20,TRUE
April,2,2,20,TRUE
April,2,4,20,TRUE
April,2,2,20,TRUE
April,2,2,20,TRUE
April,2,2,20,TRUE
April,2,2,20,TRUE
April,2,1,60,TRUE
April,2,4,62,TRUE
April,2,2,20,TRUE
April,1,5,60,TRUE
April,2,1,60,TRUE
April,2,3,60,TRUE
April,2,1,60,TRUE
April,2,7,62,TRUE
April,2,1,60,TRUE
April,2,3,60,TRUE
April,2,1,60,TRUE
April,2,3,20,TRUE
April,2,1,60,TRUE
April,2,1,60,TRUE
April,2,7,61,TRUE
April,2,1,60,TRUE
April,2,3,60,TRUE
April,2,1,60,TRUE
April,2,1,60,TRUE
April,2,1,60,TRUE
April,2,1,60,TRUE
April,3,3,60,TRUE
