month,Age_group,activity,land_use,tickbite_status
7,3,4,61,TRUE
7,3,4,61,TRUE
6,3,4,61,TRUE
8,3,4,61,TRUE
7,2,4,61,TRUE
6,2,4,61,TRUE
5,2,4,61,TRUE
5,2,4,61,TRUE
6,2,4,61,TRUE
9,2,4,61,TRUE
7,2,4,61,TRUE
7,2,4,61,TRUE
7,2,4,61,TRUE
5,2,4,61,TRUE
8,2,4,61,TRUE
10,2,4,61,TRUE
5,2,4,61,TRUE
7,2,4,61,TRUE
6,2,4,61,TRUE
6,2,4,61,TRUE
6,2,4,61,TRUE
8,2,4,61,TRUE
6,2,4,61,TRUE
7,2,4,61,TRUE
9,2,4,61,TRUE
7,2,4,61,TRUE
6,2,4,61,TRUE
8,2,4,61,TRUE
7,2,4,61,TRUE
8,2,4,61,TRUE
3,2,4,61,TRUE
7,2,4,61,TRUE
6,2,4,61,TRUE
8,2,4,61,TRUE
6,2,4,61,TRUE
5,1,4,61,TRUE
6,1,4,61,TRUE
6,1,4,61,TRUE
6,1,4,61,TRUE
7,1,4,61,TRUE
5,1,4,61,TRUE
4,1,4,61,TRUE
8,1,4,61,TRUE
4,1,4,61,TRUE
6,3,2,61,TRUE
12,3,2,61,TRUE
8,3,2,61,TRUE
5,3,2,61,TRUE
7,3,2,61,TRUE
5,3,2,61,TRUE
7,3,2,61,TRUE
5,3,2,61,TRUE
6,3,2,61,TRUE
7,2,2,61,TRUE
5,2,2,61,TRUE
5,2,2,61,TRUE
8,2,2,61,TRUE
10,2,2,61,TRUE
7,2,2,61,TRUE
7,2,2,61,TRUE
6,2,2,61,TRUE
8,2,2,61,TRUE
6,2,2,61,TRUE
7,2,2,61,TRUE
4,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
7,2,2,61,TRUE
5,2,2,61,TRUE
6,2,2,61,TRUE
7,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
7,2,2,61,TRUE
7,2,2,61,TRUE
7,2,2,61,TRUE
7,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
7,2,2,61,TRUE
6,2,2,61,TRUE
7,2,2,61,TRUE
7,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
5,2,2,61,TRUE
7,2,2,61,TRUE
7,2,2,61,TRUE
7,2,2,61,TRUE
7,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
8,2,2,61,TRUE
6,2,2,61,TRUE
6,2,2,61,TRUE
7,2,2,61,TRUE
5,2,2,61,TRUE
7,2,2,61,TRUE
9,2,2,61,TRUE
10,2,2,61,TRUE
7,2,2,61,TRUE
7,2,2,61,TRUE
8,1,2,61,TRUE
10,1,2,61,TRUE
6,1,2,61,TRUE
4,1,2,61,TRUE
8,1,2,61,TRUE
6,1,2,61,TRUE
6,1,2,61,TRUE
8,1,2,61,TRUE
6,1,2,61,TRUE
11,1,2,61,TRUE
6,1,2,61,TRUE
6,1,2,61,TRUE
7,1,2,61,TRUE
5,1,2,61,TRUE
5,1,2,61,TRUE
8,1,2,61,TRUE
8,3,7,61,TRUE
9,3,7,61,TRUE
7,3,7,61,TRUE
7,3,7,61,TRUE
6,3,7,61,TRUE
11,3,7,61,TRUE
7,2,7,61,TRUE
4,2,7,61,TRUE
7,2,7,61,TRUE
8,2,7,61,TRUE
7,2,7,61,TRUE
8,2,7,61,TRUE
7,2,7,61,TRUE
1,2,7,61,TRUE
6,2,7,61,TRUE
6,2,7,61,TRUE
10,2,7,61,TRUE
7,2,7,61,TRUE
8,2,7,61,TRUE
5,2,7,61,TRUE
9,2,7,61,TRUE
8,2,7,61,TRUE
6,2,7,61,TRUE
7,2,7,61,TRUE
10,2,7,61,TRUE
4,2,7,61,TRUE
7,2,7,61,TRUE
7,2,7,61,TRUE
5,2,7,61,TRUE
4,2,7,61,TRUE
7,2,7,61,TRUE
5,2,7,61,TRUE
6,2,7,61,TRUE
6,2,7,61,TRUE
7,2,7,61,TRUE
7,2,7,61,TRUE
10,2,7,61,TRUE
6,2,7,61,TRUE
8,2,7,61,TRUE
7,2,7,61,TRUE
7,2,7,61,TRUE
10,2,7,61,TRUE
7,2,7,61,TRUE
5,2,7,61,TRUE
6,2,7,61,TRUE
8,2,7,61,TRUE
7,2,7,61,TRUE
6,2,7,61,TRUE
8,2,7,61,TRUE
11,2,7,61,TRUE
5,2,7,61,TRUE
7,2,7,61,TRUE
5,2,7,61,TRUE
7,2,7,61,TRUE
6,2,7,61,TRUE
10,2,7,61,TRUE
7,2,7,61,TRUE
8,2,7,61,TRUE
7,2,7,61,TRUE
7,2,7,61,TRUE
7,2,7,61,TRUE
9,2,7,61,TRUE
7,2,7,61,TRUE
11,2,7,61,TRUE
10,2,7,61,TRUE
10,2,7,61,TRUE
8,2,7,61,TRUE
8,2,7,61,TRUE
5,2,7,61,TRUE
5,2,7,61,TRUE
8,1,7,61,TRUE
7,1,7,61,TRUE
4,1,7,61,TRUE
6,1,7,61,TRUE
6,3,5,61,TRUE
6,3,5,61,TRUE
7,3,5,61,TRUE
8,3,5,61,TRUE
4,3,5,61,TRUE
10,3,5,61,TRUE
7,3,5,61,TRUE
4,2,5,61,TRUE
7,2,5,61,TRUE
6,2,5,61,TRUE
5,2,5,61,TRUE
7,2,5,61,TRUE
6,2,5,61,TRUE
8,2,5,61,TRUE
9,2,5,61,TRUE
6,2,5,61,TRUE
6,2,5,61,TRUE
6,2,5,61,TRUE
7,2,5,61,TRUE
7,2,5,61,TRUE
5,2,5,61,TRUE
8,2,5,61,TRUE
5,2,5,61,TRUE
6,2,5,61,TRUE
6,2,5,61,TRUE
9,2,5,61,TRUE
6,2,5,61,TRUE
6,2,5,61,TRUE
7,2,5,61,TRUE
12,2,5,61,TRUE
6,2,5,61,TRUE
7,2,5,61,TRUE
6,2,5,61,TRUE
7,2,5,61,TRUE
7,2,5,61,TRUE
7,2,5,61,TRUE
8,2,5,61,TRUE
6,2,5,61,TRUE
7,2,5,61,TRUE
6,2,5,61,TRUE
7,2,5,61,TRUE
6,2,5,61,TRUE
6,1,5,61,TRUE
6,1,5,61,TRUE
8,1,5,61,TRUE
6,1,5,61,TRUE
7,1,5,61,TRUE
6,1,5,61,TRUE
5,1,5,61,TRUE
7,1,5,61,TRUE
5,1,5,61,TRUE
5,1,5,61,TRUE
8,1,5,61,TRUE
6,1,5,61,TRUE
5,1,5,61,TRUE
8,1,5,61,TRUE
10,1,5,61,TRUE
6,3,3,61,TRUE
5,3,3,61,TRUE
7,3,3,61,TRUE
6,3,3,61,TRUE
7,3,3,61,TRUE
5,3,3,61,TRUE
7,3,3,61,TRUE
7,3,3,61,TRUE
5,3,3,61,TRUE
5,3,3,61,TRUE
8,3,3,61,TRUE
4,3,3,61,TRUE
8,3,3,61,TRUE
4,3,3,61,TRUE
3,3,3,61,TRUE
11,3,3,61,TRUE
6,3,3,61,TRUE
5,3,3,61,TRUE
4,3,3,61,TRUE
7,3,3,61,TRUE
7,3,3,61,TRUE
6,3,3,61,TRUE
6,3,3,61,TRUE
6,3,3,61,TRUE
6,3,3,61,TRUE
6,3,3,61,TRUE
6,3,3,61,TRUE
5,3,3,61,TRUE
7,3,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
5,2,3,61,TRUE
5,2,3,61,TRUE
7,2,3,61,TRUE
5,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
12,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
8,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
10,2,3,61,TRUE
6,2,3,61,TRUE
5,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
5,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
4,2,3,61,TRUE
9,2,3,61,TRUE
6,2,3,61,TRUE
9,2,3,61,TRUE
2,2,3,61,TRUE
6,2,3,61,TRUE
4,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
8,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
6,2,3,61,TRUE
8,2,3,61,TRUE
5,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
7,2,3,61,TRUE
7,2,3,61,TRUE
4,2,3,61,TRUE
6,2,3,61,TRUE
6,2,3,61,TRUE
