MONTH,AGE,ACTIVITY,LANDUSE,BITE_STATUS
January,2,5,60,1
January,2,2,20,1
January,3,5,20,1
January,2,5,62,1
January,2,1,60,1
January,2,7,60,1
January,1,3,62,1
January,1,5,60,1
January,2,1,60,1
January,1,1,60,1
January,1,7,60,1
January,2,7,60,1
January,1,7,62,1
January,2,1,61,1
January,3,3,62,1
January,2,1,62,1
January,2,1,62,1
January,2,1,62,1
January,1,7,61,1
January,2,7,60,1
January,2,1,60,1
January,2,3,62,1
January,2,7,60,1
January,3,7,62,1
January,1,7,62,1
January,2,4,60,1
January,2,3,60,1
January,2,7,60,1
January,2,3,60,1
January,2,6,62,1
January,3,1,60,1
January,2,3,60,1
January,2,3,62,1
January,3,3,60,1
January,3,3,61,1
January,2,1,60,1
January,3,1,62,1
January,2,1,62,1
January,2,3,62,1
January,2,3,62,1
January,2,1,60,1
January,1,7,60,1
January,2,5,60,1
January,2,1,62,1
January,2,7,61,1
January,1,3,60,1
January,1,7,60,1
January,2,1,60,1
January,2,7,62,1
January,3,1,62,1
January,2,3,61,1
January,3,1,61,1
January,3,7,61,1
January,2,1,62,1
January,3,7,60,1
January,2,1,60,1
January,2,1,62,1
January,2,5,61,1
January,1,1,60,1
January,2,1,60,1
January,2,1,60,1
January,2,5,61,1
January,1,5,62,1
January,2,3,60,1
January,2,5,60,1
January,2,1,60,1
January,1,5,60,1
January,1,1,20,1
January,2,3,62,1
January,1,7,62,1
January,3,5,20,1
January,2,7,60,1
January,2,7,60,1
January,1,5,62,1
January,2,5,60,1
January,1,3,62,1
January,1,3,62,1
January,2,2,20,1
January,1,1,60,1
January,2,7,60,1
January,2,3,60,1
January,1,1,62,1
January,2,3,62,1
January,2,1,62,1
January,1,1,62,1
January,1,3,60,1
January,2,7,62,1
January,3,5,20,1
January,3,3,60,1
January,2,3,61,1
January,2,5,61,1
January,3,3,62,1
January,3,1,62,1
January,2,5,20,1
January,2,7,62,1
January,1,5,62,1
January,2,7,62,1
January,2,1,61,1
January,1,3,60,1
January,3,7,61,1
January,2,1,60,1
January,1,3,62,1
January,3,1,62,1
January,2,5,62,1
January,2,1,60,1
January,2,1,60,1
February,1,1,60,1
February,2,7,62,1
February,2,7,60,1
February,2,3,60,1
February,1,5,62,1
February,3,7,20,1
February,2,3,62,1
February,2,1,61,1
February,2,5,62,1
February,2,1,60,1
February,1,5,61,1
February,2,1,60,1
February,2,1,60,1
February,1,5,62,1
February,2,3,61,1
February,3,5,62,1
February,2,3,62,1
February,3,7,62,1
February,2,1,60,1
February,1,3,60,1
February,1,4,60,1
February,2,5,60,1
February,3,7,62,1
February,2,3,62,1
February,2,1,60,1
February,1,3,20,1
February,2,1,60,1
February,1,7,62,1
February,2,5,62,1
February,2,3,60,1
February,2,2,20,1
February,3,3,20,1
February,2,1,60,1
February,3,4,61,1
February,2,6,62,1
February,3,4,62,1
February,1,7,60,1
February,2,5,62,1
February,1,1,62,1
February,2,4,60,1
February,2,7,60,1
February,2,1,60,1
February,2,1,60,1
February,2,3,60,1
February,1,1,60,1
February,2,3,62,1
February,2,1,60,1
February,2,5,62,1
February,2,1,60,1
February,2,1,61,1
February,2,1,60,1
February,1,5,60,1
February,2,1,60,1
February,1,1,62,1
February,2,1,60,1
February,2,1,60,1
February,2,1,60,1
February,2,1,60,1
February,2,7,60,1
February,3,1,62,1
February,1,5,62,1
February,2,5,62,1
February,3,5,60,1
February,2,3,62,1
February,1,1,60,1
February,3,1,62,1
February,2,5,60,1
February,2,1,60,1
February,2,1,60,1
February,2,3,60,1
February,1,3,62,1
February,1,3,60,1
February,3,1,61,1
February,1,1,60,1
February,2,2,20,1
February,2,1,60,1
February,3,7,60,1
February,2,1,60,1
February,2,5,60,1
February,2,7,62,1
February,2,7,20,1
February,2,6,60,1
February,2,1,60,1
February,3,7,61,1
February,1,1,60,1
February,1,5,62,1
February,2,2,20,1
February,2,5,60,1
February,2,4,62,1
February,2,2,20,1
February,2,2,20,1
February,2,7,62,1
February,2,1,60,1
February,2,1,60,1
February,2,1,60,1
February,2,3,60,1
February,2,5,60,1
February,2,1,60,1
February,2,7,61,1
February,3,3,62,1
February,2,5,61,1
February,1,5,61,1
February,3,5,60,1
February,2,1,60,1
February,3,7,62,1
February,2,1,60,1
February,2,1,60,1
February,1,5,61,1
February,1,1,62,1
February,3,5,62,1
February,2,7,62,1
February,2,7,60,1
February,2,1,20,1
February,1,1,60,1
February,2,7,60,1
February,2,3,61,1
February,2,5,62,1
February,2,1,60,1
February,1,1,60,1
February,3,1,62,1
February,2,3,62,1
February,2,6,20,1
February,2,4,60,1
February,2,2,20,1
February,1,4,62,1
February,2,6,61,1
February,2,4,62,1
February,2,5,61,1
February,2,7,60,1
February,2,3,62,1
February,2,1,60,1
February,1,1,62,1
February,2,7,62,1
February,3,7,60,1
February,2,4,62,1
February,2,3,61,1
February,2,2,20,1
February,2,5,61,1
February,1,5,60,1
February,2,7,62,1
February,3,5,62,1
February,2,7,60,1
February,3,1,61,1
February,2,5,62,1
February,2,5,62,1
February,2,5,62,1
February,2,1,60,1
February,2,7,61,1
February,1,5,62,1
February,2,1,60,1
February,2,3,60,1
February,2,7,60,1
February,1,5,61,1
February,1,5,60,1
February,2,1,60,1
February,1,1,61,1
February,3,5,61,1
February,2,1,20,1
February,2,1,60,1
February,2,5,62,1
February,3,3,20,1
February,2,3,62,1
February,2,7,61,1
February,1,1,60,1
February,2,3,62,1
February,2,3,60,1
February,2,1,60,1
February,3,7,62,1
February,2,3,60,1
February,1,1,60,1
February,2,2,20,1
February,1,3,62,1
February,3,7,62,1
February,1,1,60,1
February,1,1,60,1
February,1,5,60,1
February,2,1,60,1
February,2,1,62,1
February,3,7,62,1
February,3,1,60,1
February,2,5,62,1
February,1,7,62,1
February,2,7,61,1
February,2,7,61,1
February,2,1,60,1
February,2,1,62,1
February,2,7,60,1
February,2,3,60,1
March,2,1,60,1
March,2,7,61,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,1,5,62,1
March,2,3,60,1
March,2,1,61,1
March,2,7,20,1
March,2,1,20,1
March,2,3,62,1
March,2,5,60,1
March,2,1,60,1
March,1,1,62,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,20,1
March,2,3,60,1
March,2,2,20,1
March,2,1,61,1
March,2,1,60,1
March,1,1,62,1
March,1,1,60,1
March,2,2,20,1
March,3,4,62,1
March,2,1,60,1
March,2,3,60,1
March,2,7,60,1
March,2,5,61,1
March,1,4,61,1
March,2,1,62,1
March,2,1,60,1
March,2,7,62,1
March,2,5,61,1
March,3,5,60,1
March,2,1,60,1
March,2,5,62,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,2,20,1
March,2,7,60,1
March,2,4,62,1
March,2,3,62,1
March,2,2,20,1
March,2,2,20,1
March,1,1,60,1
March,2,2,20,1
March,2,3,60,1
March,2,1,60,1
March,2,7,61,1
March,2,2,20,1
March,2,2,20,1
March,2,2,20,1
March,1,7,61,1
March,2,1,61,1
March,2,5,62,1
March,3,1,60,1
March,2,7,60,1
March,2,1,60,1
March,2,3,60,1
March,2,3,60,1
March,3,1,60,1
March,1,5,62,1
March,2,1,60,1
March,3,1,62,1
March,2,1,60,1
March,2,5,60,1
March,2,7,62,1
March,2,7,60,1
March,1,1,62,1
March,2,1,60,1
March,1,1,60,1
March,2,1,60,1
March,1,3,60,1
March,2,5,60,1
March,2,7,60,1
March,2,1,60,1
March,2,7,60,1
March,2,1,60,1
March,1,5,60,1
March,2,7,60,1
March,2,3,60,1
March,2,7,62,1
March,2,1,60,1
March,3,1,62,1
March,2,1,61,1
March,2,7,60,1
March,2,1,60,1
March,2,1,60,1
March,2,5,61,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,61,1
March,1,7,60,1
March,2,3,60,1
March,2,1,60,1
March,2,1,62,1
March,2,3,60,1
March,2,1,60,1
March,3,1,61,1
March,2,3,60,1
March,1,3,60,1
March,3,3,61,1
March,2,1,60,1
March,3,7,60,1
March,2,1,61,1
March,1,1,60,1
March,2,3,60,1
March,3,1,62,1
March,3,5,60,1
March,1,7,60,1
March,1,3,60,1
March,3,7,62,1
March,2,1,60,1
March,1,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,3,62,1
March,2,1,60,1
March,3,1,60,1
March,2,1,60,1
March,2,7,60,1
March,2,1,60,1
March,2,1,60,1
March,2,3,60,1
March,2,1,62,1
March,2,3,60,1
March,3,6,60,1
March,2,1,60,1
March,2,3,20,1
March,2,5,62,1
March,2,5,61,1
March,2,5,60,1
March,2,1,62,1
March,2,3,60,1
March,2,1,60,1
March,2,1,62,1
March,1,3,60,1
March,2,1,60,1
March,3,3,61,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,7,60,1
March,2,7,62,1
March,2,1,60,1
March,2,1,60,1
March,2,2,20,1
March,1,5,62,1
March,2,4,62,1
March,1,7,62,1
March,2,2,20,1
March,1,3,62,1
March,2,1,60,1
March,2,2,20,1
March,2,2,20,1
March,1,1,61,1
March,2,2,20,1
March,2,3,60,1
March,2,3,60,1
March,2,1,60,1
March,1,1,62,1
March,2,3,60,1
March,2,3,60,1
March,2,3,60,1
March,2,1,60,1
March,2,1,62,1
March,2,1,62,1
March,2,5,20,1
March,2,3,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,1,3,62,1
March,2,7,60,1
March,2,3,61,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,7,62,1
March,2,3,60,1
March,2,3,62,1
March,1,7,62,1
March,2,7,62,1
March,3,5,62,1
March,1,5,62,1
March,2,1,60,1
March,2,1,60,1
March,2,1,20,1
March,2,7,60,1
March,1,1,62,1
March,3,1,60,1
March,2,1,62,1
March,2,1,60,1
March,2,3,62,1
March,2,7,62,1
March,2,1,60,1
March,2,3,60,1
March,2,1,60,1
March,2,5,62,1
March,2,3,60,1
March,1,1,60,1
March,2,1,60,1
March,2,1,60,1
March,1,3,60,1
March,2,1,60,1
March,1,5,62,1
March,2,1,62,1
March,2,1,60,1
March,1,3,62,1
March,2,7,60,1
March,2,1,60,1
March,2,7,62,1
March,2,3,62,1
March,2,1,60,1
March,1,1,62,1
March,2,5,62,1
March,2,2,20,1
March,2,2,20,1
March,2,2,20,1
March,2,2,20,1
March,2,2,20,1
March,2,2,20,1
March,3,3,62,1
March,2,5,62,1
March,2,1,60,1
March,1,1,61,1
March,2,1,60,1
March,2,1,60,1
March,2,2,20,1
March,2,2,20,1
March,2,2,20,1
March,2,1,60,1
March,2,4,62,1
March,2,1,60,1
March,2,2,20,1
March,1,1,60,1
March,2,1,60,1
March,2,2,20,1
March,2,3,61,1
March,2,2,20,1
March,2,1,62,1
March,2,2,20,1
March,2,4,60,1
March,2,1,60,1
March,2,2,20,1
March,3,5,62,1
March,3,3,60,1
March,3,3,61,1
March,2,1,60,1
March,2,3,60,1
March,2,7,60,1
March,1,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,3,61,1
March,2,5,62,1
March,3,1,60,1
March,2,1,60,1
March,1,1,60,1
March,2,1,62,1
March,2,7,60,1
March,2,1,60,1
March,1,1,62,1
March,2,3,62,1
March,2,3,62,1
March,2,1,60,1
March,2,7,62,1
March,2,7,60,1
March,2,5,60,1
March,2,1,60,1
March,2,1,60,1
March,2,1,60,1
March,2,3,20,1
March,2,1,60,1
March,2,3,60,1
March,2,3,62,1
March,2,1,60,1
March,2,3,60,1
March,2,5,60,1
March,2,1,60,1
March,2,1,60,1
March,2,7,60,1
March,3,3,62,1
March,2,1,60,1
March,2,1,60,1
March,2,1,62,1
March,2,1,60,1
March,2,1,60,1
March,2,3,60,1
March,2,1,60,1
March,2,1,61,1
March,2,1,60,1
March,2,1,60,1
March,2,5,60,1
March,2,7,60,1
March,2,1,60,1
March,2,1,60,1
March,3,5,60,1
March,1,3,60,1
