stn,time,min_temp,max_temp,preci,rel_hum,evapo,VP,SD,monthly_count_nymph
275,01/01/2007 00:00,33,87.45,40.1,87.55,2.13,0.78,0.1,0.0536
275,01/02/2007 00:00,23.43,85.04,35.93,90.21,4.57,0.39,0.05,3.7506
275,01/03/2007 00:00,25.55,119.06,25.55,79.81,12.1,1.15,0.14,8.1585
275,01/04/2007 00:00,55,196.73,-0.1,62.87,27.7,1.06,0.13,22.5548
275,01/05/2007 00:00,85.19,186.84,36.55,75.68,25.39,2.96,0.36,29.7249
275,01/06/2007 00:00,130.1,220.57,23.43,81.13,28.7,2.14,0.26,27.8275
275,01/07/2007 00:00,119.23,213.71,58.65,81.84,27.87,1.72,0.21,20.7506
275,01/08/2007 00:00,114.35,218.1,19.03,80.03,26.32,2.06,0.25,18.1026
275,01/09/2007 00:00,85.73,176,24.53,86.77,14.83,1.52,0.18,14.9371
275,01/10/2007 00:00,53.39,135.9,7.65,88.19,8.84,0.68,0.08,14.3846
275,01/11/2007 00:00,25.9,87.93,27.33,90.57,3.53,0.84,0.1,6.5455
275,01/12/2007 00:00,2.77,53.42,30.26,93.06,2.26,0.71,0.09,1.4685
275,01/01/2008 00:00,31.06,79.81,30.52,90.65,2.39,0.89,0.11,-0.3846
275,01/02/2008 00:00,6.79,88.1,11.83,82.34,6.59,1.12,0.14,0.6037
275,01/03/2008 00:00,11.42,88.87,33.68,85.58,9.58,1.22,0.15,2.4732
275,01/04/2008 00:00,30.87,134.17,12.93,76.17,19.6,0.88,0.11,9.1329
275,01/05/2008 00:00,93.71,208.1,15.39,67.26,31.87,1.74,0.22,20.3543
275,01/06/2008 00:00,104.8,215.7,35.07,74.67,32.33,2.25,0.27,28.6294
275,01/07/2008 00:00,127.55,226.23,41,77.9,28.52,1.79,0.22,28.7203
275,01/08/2008 00:00,126.29,215.9,18.61,79.94,23.16,2.21,0.26,20.5058
275,01/09/2008 00:00,90.77,181.37,20.1,80.67,16.97,2.29,0.28,10.7086
275,01/10/2008 00:00,54.13,133.68,19.52,88,8.87,1.08,0.13,5.289
275,01/11/2008 00:00,31.07,83.67,29.4,91.93,3.13,0.38,0.05,2.2331
275,01/12/2008 00:00,-9.42,43.19,7.97,92.45,2.45,0.34,0.04,1.1189
275,01/01/2009 00:00,-34.65,30.9,20.13,86.81,3.32,0.33,0.04,-1.8765
275,01/02/2009 00:00,-1.43,52.79,12.89,89.61,3.79,1.14,0.14,-1.5501
275,01/03/2009 00:00,8.35,96.71,16.03,83.03,10.13,0.56,0.07,3.1096
275,01/04/2009 00:00,66.77,185.47,6,71.73,24.8,2.14,0.26,30.3543
275,01/05/2009 00:00,73.77,195.29,11.58,70.45,29.77,1.47,0.18,59.979
275,01/06/2009 00:00,93.3,207.53,24.53,74.87,30.67,1.95,0.24,71.8881
275,01/07/2009 00:00,124.06,230.97,31.19,75.58,31.71,3.12,0.38,54.1026
275,01/09/2009 00:00,98.83,198.43,16.13,81.43,17.3,2.08,0.25,5.9091
275,01/10/2009 00:00,53.29,141.26,28.03,85.52,8.97,1.69,0.21,4.7692
275,01/11/2009 00:00,60.83,115.2,40.13,87.63,3.27,0.32,0.04,2.4103
275,01/12/2009 00:00,-12.26,37.68,29.94,91.68,1.9,0.61,0.08,2.2238
275,01/01/2010 00:00,-39.81,8.29,11.35,91.03,2.42,0.3,0.04,-1.4219
275,01/02/2010 00:00,-21.39,36.96,26.36,87.96,3.46,0.27,0.03,-3.4033
275,01/03/2010 00:00,15.32,102.35,16.9,79.23,11.29,1.29,0.16,6.2937
275,01/04/2010 00:00,25.37,154.57,12.13,69.1,23.4,1.61,0.2,23.4522
275,01/05/2010 00:00,42.16,149.71,19.68,78.77,22.87,1.51,0.19,30.7552
275,01/06/2010 00:00,97.87,228.17,7.8,71.4,36.1,3.45,0.42,32.1189
275,01/07/2010 00:00,137.45,263.19,38.26,69.26,37.39,5.67,0.66,25.5594
275,01/08/2010 00:00,117.35,208.52,59.1,82.94,21.19,1.64,0.2,19.0979
275,01/09/2010 00:00,84.23,174.13,25.93,84.83,14.9,1.78,0.22,16.3916
275,01/10/2010 00:00,56.26,138.68,22.48,84.77,9.19,0.84,0.1,7.4009
275,01/11/2010 00:00,27.3,77.2,31.27,89.23,2.97,0.5,0.06,-1.0956
275,01/12/2010 00:00,-56.52,1.13,12.97,89.81,1.77,0.34,0.04,0.2214
275,01/01/2011 00:00,0.16,52.87,32.87,91.32,2.55,0.12,0.01,-1.2704
275,01/02/2011 00:00,11.32,66.18,21.61,86.39,4.57,0.4,0.05,-0.4429
275,01/03/2011 00:00,4.13,110.87,6.74,78.19,13.26,0.5,0.06,4.7203
275,01/04/2011 00:00,62.23,192.3,7.17,65.83,25.53,1.62,0.2,7.2681
275,01/05/2011 00:00,77.39,198.1,6.68,64.84,30.58,4.73,0.58,10.7273
275,01/06/2011 00:00,107.7,211.6,52.03,76.6,30.17,3.07,0.37,14.1002
275,01/07/2011 00:00,113.84,199.77,43.45,79.45,25.16,2.23,0.27,17.7086
275,01/08/2011 00:00,119.77,215.61,49.97,83.26,23.03,2,0.24,20.0117
275,01/09/2011 00:00,111.43,203.07,21.6,82.7,17.87,2.05,0.25,16.8485
275,01/10/2011 00:00,69,155.61,25.32,84.61,10.23,0.85,0.1,7.7716
275,01/11/2011 00:00,32.83,104.63,3.97,91.27,4.73,1.69,0.21,3.0559
275,01/12/2011 00:00,29.19,78.32,50.1,88.71,2.16,0.93,0.12,0.5711
275,01/01/2012 00:00,10.84,66.77,32.23,87.29,2.74,0.46,0.06,-1.5385
275,01/02/2012 00:00,-41.31,35.52,8.21,82,4.69,1.24,0.15,0.2914
275,01/03/2012 00:00,27.29,127.29,5.68,80.23,13.1,0.69,0.09,5.8345
275,01/04/2012 00:00,32.7,125.43,23.23,77.43,16.33,1.58,0.19,12.9767
275,01/05/2012 00:00,86.58,196.71,26.94,72.71,28.81,1.51,0.19,17.0979
275,01/06/2012 00:00,96.57,188.53,23.83,76.43,25.1,2.81,0.34,17.2424
275,01/07/2012 00:00,121.48,218.19,34.03,76.87,30.26,1.49,0.18,14.3986
275,01/08/2012 00:00,127.16,237.39,21.16,75.77,29.58,2.56,0.31,14.2075
275,01/09/2012 00:00,83.77,186.47,21.87,80.3,17.3,1.9,0.23,11.0233
275,01/10/2012 00:00,61.74,140.55,28.29,84.81,8.42,0.66,0.08,7.1259
275,01/11/2012 00:00,30.53,91.27,13.67,89.7,3.57,0.59,0.07,2.2354
275,01/12/2012 00:00,14.94,64.1,45.26,91.58,1.94,0.31,0.04,0.1632
275,01/01/2013 00:00,-12.03,34.13,15.52,89.1,2.23,0.35,0.04,0.0816
275,01/02/2013 00:00,-17.04,34.36,15.18,85.86,4.64,0.68,0.08,-1.7249
275,01/03/2013 00:00,-21.65,55.94,8.68,70.97,9.06,0.8,0.1,-3.4266
275,01/04/2013 00:00,18.83,131.93,8.37,70.93,18.33,1.44,0.18,13.6014
275,01/05/2013 00:00,63.68,160.45,18.48,77.39,22.29,1.96,0.24,40.4033
275,01/06/2013 00:00,96.77,203.67,14.77,72.53,29.6,1.65,0.2,57.3846
275,01/08/2013 00:00,114.97,235.32,14.68,74.1,28.52,4.47,0.53,50.1841
275,01/09/2013 00:00,92.5,188.03,35.23,83.3,16.13,1.29,0.16,25.9767
275,01/10/2013 00:00,78.74,155.19,39.68,85.97,9.32,0.62,0.08,5.8368
275,01/11/2013 00:00,27.6,88.47,29.7,91.57,3.23,0.89,0.11,3.2517
275,01/12/2013 00:00,24.26,80,25.1,88.81,2.52,0.67,0.08,-2.1445
275,01/01/2014 00:00,23.48,74.1,19.84,87.97,3,1.13,0.14,1.0816
275,01/02/2014 00:00,29.86,92.54,25.79,82.46,6.14,0.84,0.1,9.1375
275,01/03/2014 00:00,23.03,137.58,8.81,73.84,14.97,1.79,0.22,19.7622
275,01/04/2014 00:00,63.1,172.37,16.8,75.87,20.73,1.96,0.24,26
275,01/05/2014 00:00,77.58,174,33.61,76.32,24.19,2.3,0.28,25.028
275,01/06/2014 00:00,94.57,211.27,19.3,74.1,30.93,2.99,0.36,15.2587
275,01/07/2014 00:00,139.81,247.39,66.81,78.03,32.52,3.28,0.39,12.1538
275,01/08/2014 00:00,109.71,203.74,50.32,82.84,23.58,2.01,0.24,6.7506
275,01/09/2014 00:00,104.2,206,7.97,84.5,18.6,1.2,0.15,4.9359
275,01/10/2014 00:00,99.61,164.97,27.55,89.35,8.65,0.46,0.06,5.4134
275,01/11/2014 00:00,50.37,105.2,13.3,90.47,4.53,1.25,0.15,5.5334
275,01/12/2014 00:00,9.87,61.19,34.87,91.16,1.87,0.26,0.03,0.6814
